order_id,customer_id,customer_name,email,order_date,ship_date,product_id,product_name,category,region,city,quantity,unit_price,discount,revenue,payment_method,customer_segment,rating
ORD001032,CUST00769,Miss Jenna Mendez,simpsonroberto@example.net,2023-06-17,2023-06-22,PROD204,Up-sized incremental encoding,Electronics,Central,Dallas,1.0,557.69,0.1,501.92,PayPal,VIP,5.0
ORD001033,CUST00699,Nancy Wong,,2023-12-22,2023-12-31,PROD948,Cloned regional approach,Home & Garden,North,Chicago,6.0,46.03,0.15,234.75,Debit Card,Returning,
ORD001034,CUST00550,Rita Powers,mmiller@example.com,2024-09-22,2024-10-01,PROD868,Right-sized regional neural-net,Books,Central,Kansas City,8.0,264.17,0.15,1796.36,,Returning,3.0
ORD001035,CUST00573,Lauren White,cpatel@example.net,2023-11-29,2023-12-02,PROD187,Virtual tangible challenge,Home & Garden,North,Milwaukee,-6.0,479.71,0.0,-2878.26,Apple Pay,Returning,
ORD001036,CUST00829,Patricia Obrien,juliegonzales@example.org,2024-10-23,2024-11-04,PROD535,Open-source neutral superstructure,Home & Garden,South,New Orleans,1.0,60.37,0.0,60.37,,New,
ORD001037,CUST01098,Paula Ortiz,lking@example.org,2023-11-10,2023-11-15,PROD703,Diverse homogeneous collaboration,Clothing,West,Seattle,4.0,192.75,0.15,655.35,,Returning,1.0
ORD001038,CUST00562,Christopher Juarez,jennifer12@example.org,2023-08-21,2023-08-27,PROD870,Universal zero administration archive,Electronics,South,Miami,1.0,426.27,0.0,426.27,PAYPAL,New,3.0
ORD001039,CUST00979,Michael Stephens,pgriffin@example.com,2024-03-27,2024-04-02,PROD255,Assimilated eco-centric middleware,Electronics,West,Portland,1.0,155.22,0.2,124.18,,VIP,1.0
ORD001040,CUST00923,Katrina Yoder,ahoover@example.org,2024-07-25,2024-08-01,PROD161,Synergized holistic knowledge user,Sports,South,Houston,4.0,466.54,0.05,1772.85,credit card,New,
ORD001041,CUST00321,Brent Moreno,,2023-09-28,2023-10-09,PROD823,Persistent fault-tolerant toolset,Electronics,South,Atlanta,4.0,108.42,0.0,433.68,PAYPAL,Returning,
ORD001042,CUST00461,Sheila Hall,eperez@example.net,2024-10-02,2024-10-12,PROD414,Diverse 24hour time-frame,Sports,South,Miami,4.0,257.96,0.1,928.66,PAYPAL,Returning,3.0
ORD001043,CUST01106,Tyler Sanchez,derekortega@example.net,2024-04-24,,PROD356,Implemented mission-critical implementation,Clothing,West,Los Angeles,,565.89,0.1,3565.11,Debit Card,VIP,
ORD001044,CUST00906,Robert Diaz,uwatkins@example.org,2024-11-19,2024-11-24,PROD193,Public-key exuding help-desk,Sports,Central,Dallas,3.0,284.95,0.15,726.62,Apple Pay,New,
ORD001045,CUST01127,Wesley Henderson,,2023-12-04,2023-12-11,PROD985,Fundamental holistic definition,Sports,North,Detroit,5.0,399.24,0.05,1896.39,Credit Card,Returning,5.0
ORD001046,CUST00106,Nicholas Cook,molson@example.org,2023-02-25,2023-03-01,PROD224,Grass-roots well-modulated Internet solution,Home & Garden,West,Portland,,377.12,0.2,2413.57,credit card,Returning,2.0
ORD001047,CUST00233,Joseph Rivas,knappzachary@example.org,2024-07-18,2024-07-19,PROD621,Configurable modular workforce,Home & Garden,South,Miami,2.0,138.7,0.2,221.92,Apple Pay,Returning,4.0
ORD001048,CUST00850,Nicole James,elizabeth96@example.com,2024-07-18,2024-07-21,PROD957,Right-sized well-modulated moderator,Clothing,South,New Orleans,-3.0,519.1,0.0,-1557.3,credit card,Returning,2.0
ORD001049,CUST00387,Kathleen Harris MD,weissjordan@example.net,2023-12-20,2023-12-26,PROD425,Mandatory mobile archive,Home & Garden,West,Portland,7.0,275.93,0.0,1931.51,credit card,VIP,4.0
ORD001050,CUST00902,Charles Castillo,ritteralbert@example.org,2024-05-22,,PROD258,Synergized needs-based matrices,Electronics,West,San Francisco,6.0,522.47,0.2,2507.86,PAYPAL,VIP,3.0
ORD001051,CUST01000,Jennifer Chaney,wlewis@example.com,2024-10-27,2024-10-29,PROD332,Reduced object-oriented data-warehouse,electronics,Central,Nashville,7.0,572.71,0.15,3407.62,Apple Pay,VIP,
ORD001052,CUST00115,Michele Clay,nicholsmatthew@example.net,2023-06-20,2023-07-02,PROD911,Intuitive stable moratorium,Clothing,North,Milwaukee,1.0,32.36,0.2,25.89,Debit Card,New,
ORD001053,CUST00523,Rhonda Cole,nicole96@example.com,2024-05-24,2024-06-03,PROD175,Intuitive grid-enabled infrastructure,Electronics,West,San Francisco,8.0,384.55,0.05,2922.58,PayPal,VIP,3.0
ORD001054,CUST00486,Lisa Gomez,ihogan@example.com,2024-04-12,2024-04-17,PROD949,Polarized empowering encoding,Electronics,West,Seattle,7.0,512.73,0.0,3589.11,PayPal,New,
ORD001055,CUST00514,Michael Williams,adrienneblackburn@example.org,2023-10-21,2023-10-25,PROD742,Centralized reciprocal monitoring,Sports,North,Milwaukee,6.0,135.31,0.0,811.86,PayPal,Returning,1.0
ORD001056,CUST00412,Matthew Thomas,vwilliams@example.com,2023-05-15,2023-05-17,PROD950,Multi-lateral value-added hub,CLOTHING,Central,Kansas City,6.0,449.75,0.0,2698.5,PAYPAL,VIP,
ORD001057,CUST00814,Tyler Mckinney,jburns@example.org,2023-04-28,2023-05-06,PROD649,Self-enabling intermediate framework,home & garden,East,Philadelphia,3.0,453.72,0.0,1361.16,PayPal,Returning,
ORD001058,CUST01150,John Adams,sscott@example.net,2024-10-15,2024-10-21,PROD817,Cloned actuating workforce,Electronics,East,Washington DC,4.0,285.53,0.1,1027.91,Apple Pay,New,1.0
ORD001059,CUST01107,Ronnie Hernandez,rroberts@example.com,2024-05-19,2024-05-21,PROD601,Upgradable mission-critical projection,Electronics,North,Minneapolis,3.0,236.24,0.0,708.72,PayPal,New,3.0
ORD001060,CUST01116,Cynthia Ramirez,jacqueline47@example.com,2024-03-31,2024-04-04,PROD968,Synergistic contextually-based intranet,electronics,South,New Orleans,2.0,588.65,0.0,1177.3,Credit Card,Returning,
ORD001061,CUST00141,Christina Villanueva,jessefrazier@example.com,2023-02-21,2023-02-27,PROD892,Focused zero-defect hub,Clothing,Central,Dallas,3.0,473.25,0.0,1419.75,,New,
ORD001062,CUST00270,David Diaz,,2024-07-07,2024-07-12,PROD153,Robust bottom-line project,Books,South,Atlanta,2.0,398.33,0.0,796.66,Apple Pay,Returning,
ORD001063,CUST00089,Andrew Graves,alexander36@example.org,2024-04-04,2024-04-10,PROD131,Optimized composite hardware,Home & Garden,North,Milwaukee,2.0,273.94,0.0,547.88,Apple Pay,Returning,4.0
ORD001064,CUST00135,Christopher Tran,brandonwoods@example.org,2024-12-30,2025-01-07,PROD711,Expanded holistic throughput,Electronics,North,Milwaukee,2.0,196.66,0.0,393.32,Apple Pay,Returning,4.0
ORD001065,CUST00848,Sabrina Robinson,jennifer12@example.org,2024-11-01,2024-11-12,PROD781,Customer-focused tertiary knowledge user,electronics,North,Chicago,4.0,260.89,0.0,1043.56,Debit Card,Returning,4.0
ORD001066,CUST00123,Michael Torres,vazquezthomas@example.com,2023-03-29,2023-03-31,PROD781,Profound high-level parallelism,Home & Garden,North,Chicago,6.0,488.0,0.1,2635.2,Apple Pay,VIP,
ORD001067,CUST00460,Kathryn Holder,josephnelson@example.com,2024-09-06,2024-09-11,PROD331,Virtual well-modulated Internet solution,Clothing,North,Minneapolis,4.0,97.06,0.05,368.83,PAYPAL,Returning,
ORD001068,CUST00633,Lori Glover,alan34@example.com,2024-09-15,2024-09-26,PROD171,Mandatory full-range service-desk,Books,Central,Dallas,5.0,22.23,0.0,111.15,credit card,VIP,1.0
ORD001069,CUST00665,Jessica Gates,codylittle@example.org,2024-01-21,2024-01-28,PROD732,Cloned composite process improvement,Home & Garden,Central,Denver,-3.0,225.18,0.15,-574.21,Credit Card,New,
ORD001070,CUST00707,Victor Robinson,whitneymiles@example.com,2024-09-13,2024-09-21,PROD146,Integrated methodical collaboration,Clothing,West,Portland,4.0,454.19,0.0,1816.76,,New,2.0
ORD001071,CUST00882,Alyssa Townsend,ochoatammy@example.net,2023-05-21,2023-05-26,PROD925,Organic secondary framework,Clothing,East,Boston,2.0,9.6,0.15,16.32,Apple Pay,VIP,1.0
ORD001072,CUST00856,Russell Landry,lindamontoya@example.com,2024-04-15,2024-04-17,PROD571,Integrated multi-state encoding,electronics,West,Los Angeles,7.0,346.17,0.15,2059.71,PayPal,New,
ORD001073,CUST00696,Stephen Brown,katie20@example.org,2024-03-22,2024-04-01,PROD298,Expanded hybrid encoding,Clothing,North,Detroit,2.0,240.48,0.0,480.96,PayPal,New,
ORD001074,CUST00155,Lauren Wagner DVM,fitzgeraldcarol@example.com,2023-04-16,2023-04-19,PROD559,Innovative full-range concept,Clothing,South,Atlanta,3.0,363.43,0.2,872.23,,Returning,5.0
ORD001075,CUST00563,Melanie Ross,martinrussell@example.com,2023-06-04,2023-06-12,PROD477,Virtual reciprocal middleware,Electronics,East,Philadelphia,8.0,380.67,0.2,2436.29,Credit Card,Returning,
ORD001076,CUST01171,Joshua Gonzalez,hunterbrandon@example.com,2024-04-18,2024-04-28,PROD205,Enterprise-wide optimal data-warehouse,Home & Garden,North,Milwaukee,1.0,272.59,0.2,218.07,PAYPAL,New,
ORD001077,CUST00326,Suzanne Vega,scottmatthew@example.org,2023-02-10,2023-02-14,PROD153,Versatile empowering open architecture,Sports,North,Detroit,8.0,316.82,0.1,2281.1,credit card,New,3.0
ORD001078,CUST00290,Heidi Duran,gary16@example.org,2023-10-18,2023-10-23,PROD825,Focused dynamic focus group,Books,North,Milwaukee,3.0,203.35,0.1,549.04,PayPal,Returning,
ORD001079,CUST01042,Joel Burgess,tammyball@example.com,2024-11-17,2024-11-29,PROD597,De-engineered non-volatile hardware,Books,East,Boston,2.0,389.38,0.05,739.82,Debit Card,New,3.0
ORD001080,CUST00333,Lisa Nelson,larrylane@example.com,2024-11-08,2024-11-14,PROD144,Cross-platform modular collaboration,electronics,North,Chicago,3.0,360.36,0.0,1081.08,credit card,Returning,4.0
ORD001081,CUST00961,David Sharp,mooregregory@example.com,2024-04-04,2024-04-08,PROD887,Realigned eco-centric analyzer,Home & Garden,Central,Kansas City,5.0,579.53,0.2,2318.12,Apple Pay,Returning,4.0
ORD001082,CUST00761,Jeremy Hendricks,claudia87@example.com,2024-09-11,2024-09-14,PROD881,Programmable zero-defect function,electronics,South,Atlanta,1.0,386.5,0.2,309.2,Apple Pay,VIP,2.0
ORD001083,CUST01029,Michelle Harper,johnmoyer@example.net,2023-08-16,2023-08-24,PROD201,Organized intangible initiative,electronics,West,Los Angeles,1.0,251.86,0.05,239.27,credit card,New,2.0
ORD001084,CUST00919,Suzanne Bowman,thompsonmichelle@example.net,2023-10-21,,PROD844,Extended grid-enabled methodology,Sports,South,Houston,3.0,456.51,0.05,1301.05,Apple Pay,New,3.0
ORD001085,CUST01024,Ronald Paul,zmason@example.com,2023-05-05,2023-05-06,PROD729,Synergized zero-defect hierarchy,Clothing,South,Miami,8.0,12730.64,0.2,271.17,,Returning,
ORD001086,CUST00090,Scott Sanchez,zharris@example.org,2023-03-11,2023-03-20,PROD453,Multi-lateral scalable database,Home & Garden,North,Minneapolis,-1.0,237.32,0.05,-225.45,credit card,Returning,
ORD001087,CUST00952,Annette Jones,jgreen@example.org,2023-05-17,2023-05-18,PROD568,Ergonomic attitude-oriented functionalities,Clothing,Central,Kansas City,6.0,489.04,0.0,2934.24,Debit Card,New,2.0
ORD001088,CUST00392,Alyssa Thomas,annette42@example.org,2023-11-14,,PROD918,Polarized zero administration workforce,Clothing,North,Minneapolis,8.0,155.72,0.2,996.61,Apple Pay,Returning,4.0
ORD001089,CUST00870,Linda Thompson,candacedavis@example.net,2024-05-23,2024-06-04,PROD181,Reverse-engineered upward-trending capacity,Home & Garden,East,Boston,5.0,481.68,0.15,2047.14,PayPal,New,5.0
ORD001090,CUST00891,Paul Hernandez,weberkatherine@example.com,2024-12-07,2024-12-15,PROD472,Up-sized systematic migration,Clothing,West,San Francisco,1.0,437.45,0.0,437.45,credit card,Returning,1.0
ORD001091,CUST00067,Dustin Pittman,anthony63@example.org,2023-02-05,2023-02-08,PROD687,Intuitive transitional alliance,Electronics,South,New Orleans,6.0,220.48,0.1,1190.59,PayPal,New,
ORD001092,CUST00242,Matthew Charles,randy61@example.net,2023-04-27,2023-04-28,PROD602,Ergonomic bifurcated installation,Books,East,Boston,8.0,313.06,0.1,2254.03,Debit Card,VIP,4.0
ORD001093,CUST00133,Emily Clark,hickssarah@example.net,2023-03-31,2023-04-11,PROD817,Sharable encompassing project,home & garden,South,New Orleans,6.0,402.36,0.15,2052.04,PAYPAL,New,2.0
ORD001094,CUST00756,Sandra Aguirre,samanthamoran@example.org,2023-05-23,2023-05-27,PROD507,Profit-focused zero administration monitoring,Books,North,Detroit,1.0,219.73,0.1,197.76,credit card,Returning,4.0
ORD001095,CUST00706,Debbie Estrada,josedavis@example.org,2023-05-09,2023-05-15,PROD232,Object-based grid-enabled collaboration,Sports,West,Los Angeles,8.0,282.17,0.1,2031.62,PAYPAL,New,1.0
ORD001096,CUST00582,Dale Reeves,csmith@example.com,2023-11-08,2023-11-11,PROD410,Extended multimedia system engine,Electronics,Central,Denver,4.0,210.88,0.1,759.17,Credit Card,Returning,2.0
ORD001097,CUST00085,Thomas Jones,nchavez@example.net,2023-06-25,,PROD766,Switchable intangible standardization,Sports,Central,Denver,6.0,506.31,0.1,2734.07,,Returning,
ORD001098,CUST00832,Ruben Hester,mscott@example.net,2024-10-04,2024-10-13,PROD308,Distributed even-keeled monitoring,Clothing,North,Milwaukee,5.0,292.35,0.2,1169.4,Debit Card,New,
ORD001099,CUST00251,John Campbell,qjones@example.com,2024-02-13,2024-02-16,PROD730,Automated attitude-oriented application,Books,East,Philadelphia,2.0,194.87,0.05,370.25,PAYPAL,VIP,
ORD001100,CUST01019,Angel Adams,,2023-07-14,2023-07-17,PROD461,Self-enabling analyzing moratorium,Home & Garden,East,Philadelphia,8.0,301.76,0.0,2414.08,PayPal,Returning,
ORD001101,CUST00750,Misty Long,harrisstephanie@example.org,2024-07-03,2024-07-04,PROD666,Upgradable scalable Graphical User Interface,Books,West,Seattle,7.0,84.69,0.0,592.83,Apple Pay,Returning,
ORD001102,CUST00765,Mrs. Kelsey Ramos,nherrera@example.org,2024-09-30,2024-10-11,PROD621,Face-to-face optimal knowledge user,Sports,Central,Kansas City,3.0,585.17,0.05,1667.73,Credit Card,New,2.0
ORD001103,CUST00653,Tonya Jones,juan81@example.com,2024-06-15,2024-06-23,PROD948,Programmable leadingedge frame,Electronics,East,Washington DC,3.0,200.14,0.1,540.38,Apple Pay,Returning,3.0
ORD001104,CUST00055,Julie Bell,cwilliams@example.com,2024-01-13,2024-01-19,PROD333,Reduced 24hour task-force,Sports,West,Los Angeles,7.0,352.3,0.2,1972.88,,Returning,5.0
ORD001105,CUST00643,Jill Perez,wmarshall@example.com,2023-06-01,2023-06-12,PROD582,Ameliorated reciprocal implementation,Clothing,Central,Nashville,2.0,118.52,0.05,225.19,credit card,Returning,
ORD001106,CUST00355,David Wise,wbell@example.com,2024-07-28,2024-08-03,PROD797,Seamless grid-enabled service-desk,home & garden,South,Atlanta,8.0,317.66,0.0,2541.28,credit card,New,4.0
ORD001107,CUST00425,John Shannon,sarahayers@example.net,2023-10-13,2023-10-22,PROD838,Streamlined regional portal,Clothing,South,Atlanta,5.0,463.85,0.15,1971.36,Credit Card,Returning,5.0
ORD001108,CUST00710,Briana Brock,aherrera@example.org,2023-12-20,2023-12-23,PROD377,Fully-configurable mission-critical instruction set,Clothing,West,Portland,5.0,573.41,0.0,2867.05,credit card,New,1.0
ORD001109,CUST00206,Donna Whitney,aguirrepeggy@example.net,06/09/2023,2023-09-07,PROD663,Down-sized global artificial intelligence,Sports,Central,Denver,4.0,384.58,0.0,1538.32,Debit Card,Returning,4.0
ORD001110,CUST01176,Calvin Prince,powellkiara@example.net,2023-10-22,2023-10-28,PROD527,Profound disintermediate service-desk,Clothing,West,San Francisco,-1.0,545.22,0.0,-545.22,Debit Card,VIP,1.0
ORD001111,CUST00612,Lisa Pena,bparsons@example.org,2023-07-10,2023-07-22,PROD656,Realigned non-volatile paradigm,CLOTHING,West,Portland,5.0,526.66,0.0,2633.3,Debit Card,VIP,4.0
ORD001112,CUST00382,Mark Woods,,2023-04-26,2023-05-02,PROD725,Grass-roots interactive orchestration,Electronics,East,Boston,8.0,390.73,0.15,2656.96,Apple Pay,Returning,5.0
ORD001113,CUST00014,Kimberly Thompson MD,josephmoore@example.com,2024-02-15,2024-02-26,PROD840,Pre-emptive foreground process improvement,Electronics,East,New York,3.0,289.09,0.0,867.27,PayPal,Returning,
ORD001114,CUST00637,Sabrina Smith,laurawilkerson@example.com,2024-11-14,2024-11-16,PROD236,Reduced zero-defect frame,Home & Garden,South,Houston,3.0,246.22,0.1,664.79,Apple Pay,Returning,5.0
ORD001115,CUST00168,Christopher Warner,gomezfrank@example.org,2024-12-19,2024-12-28,PROD948,Upgradable clear-thinking approach,CLOTHING,East,Washington DC,4.0,458.31,0.15,1558.25,,New,5.0
ORD001116,CUST00187,Andrew Davis,stacey39@example.net,2023-12-02,2023-12-11,PROD677,User-centric exuding contingency,Home & Garden,South,Atlanta,4.0,431.57,0.05,1639.97,Apple Pay,Returning,3.0
ORD001117,CUST00131,James James,zmorales@example.com,2023-09-18,2023-09-19,PROD393,Re-engineered impactful capability,Books,North,Milwaukee,2.0,31.95,0.0,63.9,PAYPAL,New,
ORD001118,CUST01105,Randy Newton,fsanchez@example.org,2024-01-27,2024-02-04,PROD230,Reduced system-worthy orchestration,electronics,West,Seattle,7.0,228.51,0.15,1359.63,Debit Card,Returning,
ORD001119,CUST00471,Thomas Velez,amy91@example.org,2024-04-19,2024-04-30,PROD215,Total motivating forecast,Books,North,Minneapolis,7.0,321.5,0.2,1800.4,credit card,Returning,
ORD001120,CUST00100,Andre Hunter,dominiquescott@example.org,2023-07-31,2023-08-02,PROD894,Devolved homogeneous toolset,Electronics,North,Detroit,1.0,270.63,0.15,230.04,,VIP,2.0
ORD001121,CUST01068,Larry Reed,allenwendy@example.net,2024-08-14,2024-08-24,PROD279,Realigned neutral help-desk,Books,Central,Kansas City,6.0,145.96,0.0,875.76,Apple Pay,Returning,1.0
ORD001122,CUST00377,Gregory Hughes,ananeal@example.net,2024-06-21,2024-06-27,PROD925,Persistent object-oriented projection,Sports,East,Washington DC,7.0,93.78,0.05,623.64,Credit Card,Returning,4.0
ORD001123,CUST00760,Eric Brown,david81@example.org,2024-02-02,2024-02-06,PROD717,Programmable secondary adapter,Clothing,Central,Denver,6.0,389.79,0.05,2221.8,Credit Card,New,
ORD001124,CUST00434,Dawn Sanders,amydixon@example.net,2024-05-05,2024-05-09,PROD348,Future-proofed stable superstructure,electronics,Central,Denver,6.0,185.4,0.0,1112.4,credit card,New,2.0
ORD001125,CUST01051,Nicholas Kelley,mcfarlandmary@example.net,2023-10-17,2023-10-24,PROD427,Optional holistic open system,Home & Garden,Central,Kansas City,6.0,188.51,0.0,1131.06,PayPal,New,1.0
ORD001126,CUST00676,Meghan Davis,yevans@example.org,2023-05-30,2023-05-31,PROD445,Triple-buffered eco-centric analyzer,Clothing,Central,Denver,7.0,180.64,0.0,1264.48,PAYPAL,Returning,
ORD001127,CUST01001,Amy Sims,bethanytran@example.net,2023-06-22,2023-07-04,PROD959,Synergized systemic model,Books,West,Portland,3.0,88.28,0.1,238.36,PAYPAL,Returning,
ORD001128,CUST00934,Jamie Suarez,penabrian@example.org,2023-05-21,2023-06-01,PROD599,Virtual bottom-line data-warehouse,Clothing,North,Milwaukee,,10.44,0.1,28.19,,Returning,1.0
ORD001129,CUST00220,Samantha Long,thomas41@example.net,2024-07-02,2024-07-07,PROD462,Function-based maximized function,Electronics,North,Minneapolis,7.0,484.67,0.0,3392.69,Apple Pay,New,4.0
ORD001130,CUST00065,Ashley Miller,gchandler@example.com,14/12/2024,2024-12-18,PROD275,Proactive solution-oriented parallelism,Clothing,West,San Francisco,-2.0,393.97,0.2,-630.35,PAYPAL,Returning,
ORD001131,CUST00575,Krystal Lopez,ayalarita@example.org,2024-06-24,,PROD312,Triple-buffered logistical success,Clothing,East,New York,8.0,166.3,0.0,1330.4,PAYPAL,Returning,
ORD001132,CUST00680,Madison Smith,michael73@example.net,2023-11-03,2023-11-06,PROD863,Up-sized stable project,Home & Garden,West,Los Angeles,7.0,407.84,0.1,2569.39,Credit Card,New,2.0
ORD001133,CUST00061,Debra Smith,stacycollins@example.org,2024-09-11,2024-09-21,PROD484,User-centric explicit algorithm,CLOTHING,North,Minneapolis,7.0,581.51,0.0,4070.57,credit card,Returning,4.0
ORD001134,CUST00316,Rachel Nelson,alejandro64@example.net,2023-09-10,2023-09-22,PROD468,Team-oriented 6thgeneration firmware,Electronics,North,Minneapolis,-5.0,96.76,0.15,-411.23,Credit Card,New,2.0
ORD001135,CUST01136,Jimmy Cruz,fitzpatrickcolleen@example.net,2024-07-24,2024-08-02,PROD497,Advanced asynchronous support,Home & Garden,West,Portland,2.0,20.63,0.0,41.26,credit card,VIP,2.0
